Total time,Physics time,Receive time,Total connections,Connections in ROI,Connections outside ROI,Number of closest clients,Known clients,Total entities,Received messages,Sent messages
4740136707,8288,16317,21,0,7,7,21,16,R:3 C:7 B:1 ,C:25 R:1 B:4 
4750136798,9345,9749,22,0,7,7,20,16,R:3 C:5 ,C:25 R:1 B:2 
4760136918,6350,6692,22,0,7,7,20,15,C:3 R:2 ,C:17 R:1 
4770137223,6956,12087,22,0,7,7,20,16,C:6 R:2 ,B:5 C:17 R:1 
4780136723,7998,24566,23,0,7,7,22,16,C:10 R:4 B:2 ,C:37 R:3 B:1 
4790137627,6754,3970,21,0,7,7,20,15,C:2 R:1 ,C:8 
4800137713,7973,27357,22,0,7,7,22,16,C:19 R:3 ,C:28 R:9 B:1 
4810137857,22502,9626,20,0,7,7,21,16,C:4 R:3 B:2 ,B:1 C:26 R:1 
4820137428,5895,6655,20,0,7,7,21,14,C:3 R:2 ,C:17 R:1 
4830138162,6118,10100,20,0,7,7,20,14,C:8 R:2 B:1 ,C:18 R:1 B:5 
4840137806,6009,8125,20,0,7,7,19,14,C:5 R:2 B:3 ,B:2 C:20 R:1 
4850138493,5386,2897,20,0,7,7,19,13,C:3 R:2 ,C:17 R:1 
4860138277,5869,15901,20,0,7,7,20,14,C:8 R:2 B:2 ,C:19 R:1 B:5 
4870138603,7731,11492,20,0,7,7,19,14,C:5 R:2 B:3 ,B:2 C:20 R:1 
4880138827,6794,6489,20,0,7,7,19,14,C:3 R:2 ,C:17 R:1 
4890139231,6975,14184,20,0,7,7,20,15,C:8 R:2 B:2 ,C:19 R:1 B:5 
4900139871,6817,12245,19,0,7,7,18,14,C:5 R:3 B:2 ,B:2 C:27 R:1 
